preco;quartos;banheiros;vagas garagem;rua/avenida;custo condominio;iptu;bairro;cidade;estado;cep;armários na cozinha;academia;piscina;varanda;portaria;quarto de serviço;área de serviço;condomínio fechado;permitido animais;churrasqueira;elevador;mobiliado;armários no quarto;ar condicionado;segurança 24h;salão de festas;area util por m²
36000000.0;3;2;2;Avenida Vereador Marcus Paiva;0.0;0.0;Cidade Nova;Ilhéus;BA;45652050;0;1;1;1;0;0;1;0;0;1;0;1;0;1;0;0;220.0
4100000.0;2;2;1;Avenida Oduvaldo Evaristo Bacelar;413.0;500.0;São Francisco;Ilhéus;BA;45655145;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;59.0
5500000.0;2;1;1;Avenida Lomanto Júnior;240.0;0.0;Pontal;Ilhéus;BA;45654000;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;65.0
8000000.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;96.0
6500000.0;1;2;1;Avenida Tancredo Neves;450.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;60.0
14000000.0;3;1;2;Nossa Senhora da Vitória;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;150.0
14000000.0;3;1;2;Rua dos Canários;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;150.0
5500000.0;2;2;1;Avenida Osvaldo Cruz;720.0;0.0;Cidade Nova;Ilhéus;BA;45652130;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;84.0
5500000.0;2;2;1;Rua Bem;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655750;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;74.0
3030000.0;1;1;0;Rua Praia Dourada;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655764;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;36.0
3600000.0;2;2;1;Avenida Tancredo Neves;-1;-1;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;59.0
9000000.0;3;3;2;Avenida Tancredo Neves;-1;-1;Jardim Atlântico;Ilhéus;BA;45655000;1;1;1;1;0;1;1;0;0;1;0;1;1;1;0;0;132.0
5200000.0;2;1;1;Nossa Senhora da Vitória;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655768;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;78.0
6200000.0;1;2;0;Rua dos Tangarás;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655752;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;68.0
7000000.0;3;2;1;Avenida Tancredo Neves;-1;-1;São Francisco;Ilhéus;BA;45655120;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;85.0
3200000.0;1;1;1;Avenida Tancredo Neves;350.0;1200.0;São Francisco;Ilhéus;BA;45655120;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;42.0
4800000.0;2;2;1;Rua Sol e Mar;340.0;-1;Nossa Senhora da Vitória;Ilhéus;BA;45655767;1;1;1;1;0;0;1;0;0;1;0;0;1;0;0;0;90.0
4350000.0;3;1;2;Rua Cassimiro Costa;0.0;0.0;Pontal;Ilhéus;BA;45654530;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;150.0
1600000.0;-1;1;-1;Rua Nossa Senhora da Conceição;-1;-1;Teotônio Vilela;Ilhéus;BA;45657170;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;-1
4800000.0;-1;1;-1;Avenida Tancredo Neves;-1;-1;São Francisco;Ilhéus;BA;45655120;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;-1
8500000.0;2;2;1;Rua dos Canários;580.0;1400.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;71.0
4800000.0;2;2;1;Rua Jiquiriçá;436.0;-1;São Francisco;Ilhéus;BA;45655114;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;88.0
15000000.0;3;2;2;Rua dos Canários;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;115.0
5290000.0;3;2;2;Avenida José Luís da Fonseca;400.0;1300.0;Jardim Savóia;Ilhéus;BA;45658260;1;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;75.0
8500000.0;2;1;2;Rua dos Canários;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;106.0
9500000.0;2;1;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;162.0
7000000.0;2;1;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;85.0
6800000.0;2;1;1;Rua Praia Dourada;450.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655764;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;79.0
